"site","GenSpec","StartDate","EndDate","YearValue","sum_pantrap"
"SST","Bombus_terrestris",2012-08-14,2012-08-28,2012,5
"SST","Bombus_terrestris",2012-08-28,2012-09-11,2012,4
"SST","Bombus_terrestris",2013-04-29,2013-05-13,2013,2
"SST","Bombus_terrestris",2013-05-13,2013-05-29,2013,5
"SST","Bombus_terrestris",2013-05-29,2013-06-10,2013,16
"SST","Bombus_terrestris",2013-08-05,2013-08-19,2013,15
"SST","Bombus_terrestris",2013-08-19,2013-09-02,2013,2
"SST","Bombus_terrestris",2013-09-02,2013-09-16,2013,3
"SST","Bombus_terrestris",2014-04-14,2014-04-28,2014,4
"SST","Bombus_terrestris",2014-04-28,2014-05-12,2014,19
"SST","Bombus_terrestris",2014-05-12,2014-05-26,2014,11
"SST","Bombus_terrestris",2014-07-14,2014-07-28,2014,11
"SST","Bombus_terrestris",2014-07-28,2014-08-13,2014,3
"SST","Bombus_terrestris",2014-08-13,2014-08-26,2014,1
"SST","Bombus_terrestris",2015-04-20,2015-05-04,2015,2
"SST","Bombus_terrestris",2015-05-04,2015-05-18,2015,1
"SST","Bombus_terrestris",2015-05-18,2015-06-01,2015,3
"SST","Bombus_terrestris",2015-07-23,2015-08-03,2015,8
"SST","Bombus_terrestris",2015-08-03,2015-08-17,2015,10
"SST","Bombus_terrestris",2015-08-17,2015-09-02,2015,8
"SST","Bombus_terrestris",2016-04-20,2016-05-04,2016,3
"SST","Bombus_terrestris",2016-05-04,2016-05-18,2016,5
"SST","Bombus_terrestris",2016-05-18,2016-06-01,2016,8
"SST","Bombus_terrestris",2016-07-13,2016-07-27,2016,32
"SST","Bombus_terrestris",2016-07-27,2016-08-10,2016,20
"SST","Bombus_terrestris",2016-08-10,2016-08-24,2016,11
"SST","Bombus_terrestris",2017-04-20,2017-05-04,2017,19
"SST","Bombus_terrestris",2017-05-04,2017-05-17,2017,12
"SST","Bombus_terrestris",2017-05-17,2017-05-31,2017,14
"SST","Bombus_terrestris",2017-07-26,2017-08-09,2017,8
"SST","Bombus_terrestris",2017-08-09,2017-08-23,2017,4
"SST","Bombus_terrestris",2017-08-23,2017-09-06,2017,1
"SST","Bombus_terrestris",2018-04-18,2018-05-02,2018,2
"SST","Bombus_terrestris",2018-05-02,2018-05-16,2018,3
"SST","Bombus_terrestris",2018-05-16,2018-05-30,2018,12
"SST","Bombus_terrestris",2018-08-01,2018-08-15,2018,1
"SST","Bombus_terrestris",2018-08-15,2018-08-29,2018,1
"SST","Bombus_terrestris",2018-08-29,2018-09-12,2018,1
"SST","Bombus_terrestris",2019-04-15,2019-04-29,2019,4
"SST","Bombus_terrestris",2019-04-29,2019-05-13,2019,10
"SST","Bombus_terrestris",2019-05-13,2019-05-27,2019,6
"SST","Bombus_terrestris",2019-07-22,2019-08-05,2019,9
"SST","Bombus_terrestris",2019-08-05,2019-08-19,2019,1
"SST","Bombus_terrestris",2020-04-14,2020-04-28,2020,3
"SST","Bombus_terrestris",2020-04-28,2020-05-12,2020,11
"SST","Bombus_terrestris",2020-05-12,2020-05-26,2020,13
"SST","Bombus_terrestris",2020-07-21,2020-08-04,2020,12
"SST","Bombus_terrestris",2020-08-04,2020-08-18,2020,2
"SST","Bombus_terrestris",2020-08-18,2020-09-01,2020,13
"WAN","Bombus_lapidarius",2010-05-03,2010-05-25,2010,1
"WAN","Bombus_lapidarius",2010-05-25,2010-06-08,2010,2
"WAN","Bombus_lapidarius",2010-08-03,2010-08-17,2010,5
"WAN","Bombus_lapidarius",2010-08-17,2010-08-31,2010,7
"WAN","Bombus_lapidarius",2010-08-31,2010-09-14,2010,2
"WAN","Bombus_lapidarius",2011-05-03,2011-05-17,2011,1
"WAN","Bombus_lapidarius",2011-05-17,2011-05-31,2011,5
"WAN","Bombus_lapidarius",2011-05-31,2011-06-15,2011,7
"WAN","Bombus_lapidarius",2011-08-02,2011-08-16,2011,9
"WAN","Bombus_lapidarius",2011-08-16,2011-08-30,2011,3
"WAN","Bombus_lapidarius",2011-08-30,2011-09-13,2011,1
"WAN","Bombus_lapidarius",2012-05-03,2012-05-16,2012,4
"WAN","Bombus_lapidarius",2012-05-15,2012-05-30,2012,1
"WAN","Bombus_lapidarius",2012-05-30,2012-06-13,2012,12
"WAN","Bombus_lapidarius",2013-05-14,2013-05-28,2013,1
"WAN","Bombus_lapidarius",2013-05-28,2013-06-11,2013,1
"WAN","Bombus_lapidarius",2013-08-06,2013-08-20,2013,10
"WAN","Bombus_lapidarius",2013-08-20,2013-09-03,2013,2
"WAN","Bombus_lapidarius",2014-04-29,2014-05-13,2014,1
"WAN","Bombus_lapidarius",2014-05-13,2014-05-27,2014,4
"WAN","Bombus_lapidarius",2014-07-15,2014-07-29,2014,2
"WAN","Bombus_lapidarius",2014-07-29,2014-08-14,2014,1
"WAN","Bombus_lapidarius",2014-08-14,2014-08-25,2014,3
"WAN","Bombus_lapidarius",2015-07-22,2015-08-05,2015,3
"WAN","Bombus_lapidarius",2016-04-18,2016-05-02,2016,2
"WAN","Bombus_lapidarius",2016-05-02,2016-05-17,2016,1
"WAN","Bombus_lapidarius",2016-05-17,2016-05-30,2016,2
"WAN","Bombus_lapidarius",2016-07-11,2016-07-25,2016,5
"WAN","Bombus_lapidarius",2016-07-25,2016-08-08,2016,1
"WAN","Bombus_lapidarius",2016-08-08,2016-08-22,2016,1
"WAN","Bombus_lapidarius",2017-05-02,2017-05-15,2017,6
"WAN","Bombus_lapidarius",2017-05-15,2017-05-29,2017,1
"WAN","Bombus_lapidarius",2017-07-24,2017-08-07,2017,1
"WAN","Bombus_lapidarius",2017-08-07,2017-08-21,2017,3
"WAN","Bombus_lapidarius",2018-05-14,2018-05-28,2018,1
"WAN","Bombus_lapidarius",2018-07-30,2018-08-13,2018,3
"WAN","Bombus_lapidarius",2019-05-02,2019-05-15,2019,5
"WAN","Bombus_lapidarius",2019-05-15,2019-05-29,2019,2
"WAN","Bombus_lapidarius",2019-07-24,2019-08-07,2019,2
"WAN","Bombus_lapidarius",2019-08-07,2019-08-21,2019,2
"WAN","Bombus_lapidarius",2020-07-20,2020-08-03,2020,2
"WAN","Bombus_lapidarius",2020-08-17,2020-08-31,2020,2
"WAN","Bombus_terrestris",2010-05-03,2010-05-25,2010,10
"WAN","Bombus_terrestris",2010-05-25,2010-06-08,2010,13
"WAN","Bombus_terrestris",2010-08-03,2010-08-17,2010,16
"WAN","Bombus_terrestris",2010-08-17,2010-08-31,2010,8
"WAN","Bombus_terrestris",2010-08-31,2010-09-14,2010,7
"WAN","Bombus_terrestris",2011-05-03,2011-05-17,2011,5
"WAN","Bombus_terrestris",2011-05-17,2011-05-31,2011,4
"WAN","Bombus_terrestris",2011-05-31,2011-06-15,2011,13
"WAN","Bombus_terrestris",2011-08-02,2011-08-16,2011,4
"WAN","Bombus_terrestris",2011-08-16,2011-08-30,2011,7
"WAN","Bombus_terrestris",2011-08-30,2011-09-13,2011,3
"WAN","Bombus_terrestris",2012-05-03,2012-05-16,2012,6
"WAN","Bombus_terrestris",2012-05-15,2012-05-30,2012,6
"WAN","Bombus_terrestris",2012-05-30,2012-06-13,2012,12
"WAN","Bombus_terrestris",2012-08-01,2012-08-15,2012,3
"WAN","Bombus_terrestris",2012-08-15,2012-08-29,2012,2
"WAN","Bombus_terrestris",2013-04-30,2013-05-14,2013,1
"WAN","Bombus_terrestris",2013-05-14,2013-05-28,2013,3
"WAN","Bombus_terrestris",2013-05-28,2013-06-11,2013,12
"WAN","Bombus_terrestris",2013-08-06,2013-08-20,2013,47
"WAN","Bombus_terrestris",2013-08-20,2013-09-03,2013,11
"WAN","Bombus_terrestris",2013-09-03,2013-09-17,2013,1
"WAN","Bombus_terrestris",2014-04-15,2014-04-29,2014,7
"WAN","Bombus_terrestris",2014-04-29,2014-05-13,2014,8
"WAN","Bombus_terrestris",2014-05-13,2014-05-27,2014,12
"WAN","Bombus_terrestris",2014-07-15,2014-07-29,2014,16
"WAN","Bombus_terrestris",2014-07-29,2014-08-14,2014,10
"WAN","Bombus_terrestris",2014-08-14,2014-08-25,2014,6
"WAN","Bombus_terrestris",2015-05-06,2015-05-20,2015,6
"WAN","Bombus_terrestris",2015-05-20,2015-06-02,2015,3
"WAN","Bombus_terrestris",2015-07-22,2015-08-05,2015,63
"WAN","Bombus_terrestris",2015-08-05,2015-08-18,2015,8
"WAN","Bombus_terrestris",2015-08-18,2015-08-31,2015,2
"WAN","Bombus_terrestris",2016-04-18,2016-05-02,2016,8
"WAN","Bombus_terrestris",2016-05-02,2016-05-17,2016,15
"WAN","Bombus_terrestris",2016-05-17,2016-05-30,2016,6
"WAN","Bombus_terrestris",2016-07-11,2016-07-25,2016,40
"WAN","Bombus_terrestris",2016-07-25,2016-08-08,2016,16
"WAN","Bombus_terrestris",2016-08-08,2016-08-22,2016,16
"WAN","Bombus_terrestris",2017-04-18,2017-05-02,2017,17
"WAN","Bombus_terrestris",2017-05-02,2017-05-15,2017,20
"WAN","Bombus_terrestris",2017-05-15,2017-05-29,2017,24
"WAN","Bombus_terrestris",2017-07-24,2017-08-07,2017,7
"WAN","Bombus_terrestris",2017-08-07,2017-08-21,2017,2
"WAN","Bombus_terrestris",2017-08-21,2017-09-04,2017,5
"WAN","Bombus_terrestris",2018-04-16,2018-04-30,2018,1
"WAN","Bombus_terrestris",2018-04-30,2018-05-14,2018,2
"WAN","Bombus_terrestris",2018-05-14,2018-05-28,2018,7
"WAN","Bombus_terrestris",2018-07-30,2018-08-13,2018,5
"WAN","Bombus_terrestris",2018-08-13,2018-08-27,2018,2
"WAN","Bombus_terrestris",2018-08-27,2018-09-10,2018,4
"WAN","Bombus_terrestris",2019-04-17,2019-05-02,2019,14
"WAN","Bombus_terrestris",2019-05-02,2019-05-15,2019,31
"WAN","Bombus_terrestris",2019-05-15,2019-05-29,2019,33
"WAN","Bombus_terrestris",2019-07-24,2019-08-07,2019,10
"WAN","Bombus_terrestris",2019-08-07,2019-08-21,2019,4
"WAN","Bombus_terrestris",2019-08-21,2019-09-05,2019,4
"WAN","Bombus_terrestris",2020-04-27,2020-05-11,2020,14
"WAN","Bombus_terrestris",2020-05-11,2020-05-25,2020,10
"WAN","Bombus_terrestris",2020-07-20,2020-08-03,2020,24
"WAN","Bombus_terrestris",2020-08-03,2020-08-17,2020,4
"WAN","Bombus_terrestris",2020-08-17,2020-08-31,2020,6
